Game,Winner,Time(s),Moves,Depth,AI_Nodes
1,AI,52.70,20,4,4072
2,AI,102.40,26,4,6554
3,AI,47.50,12,4,2706
4,AI,63.55,20,4,3912
5,AI,76.24,22,4,5564
6,AI,43.63,16,4,4754
7,AI,103.13,38,4,4687
8,AI,139.04,32,4,8074
9,AI,95.49,28,4,5131
10,Player,102.62,35,4,4363
11,AI,90.52,26,4,7343
12,AI,82.95,28,4,5792
13,AI,32.39,14,4,3302
14,AI,102.52,30,4,5073
15,AI,102.81,32,4,5932
16,AI,74.39,18,4,7303
17,AI,125.16,30,4,5012
18,AI,42.44,20,4,4657
19,AI,49.97,16,4,5728
20,AI,98.36,30,4,5760
21,AI,64.48,20,4,8482
22,AI,52.17,20,4,6250
23,AI,80.07,20,4,6847
24,AI,94.55,24,4,8899
25,AI,48.02,16,4,3893
26,AI,90.03,22,4,7161
27,AI,64.96,22,4,4426
28,AI,56.51,14,4,5372
29,AI,29.45,12,4,2612
30,AI,113.40,32,4,8083
31,AI,91.13,26,4,4755
32,AI,80.79,20,4,8846
33,AI,86.12,24,4,9739
34,AI,102.16,22,4,8626
35,AI,57.13,16,4,7148
36,AI,232.06,34,4,9447
37,AI,110.51,26,4,8520
38,AI,162.69,28,4,9610
39,AI,33.54,12,4,4120
40,AI,83.09,30,4,4201
41,AI,122.42,20,4,7304
